"","fy","fye","month","plan_name","plan_full_name","state","aal","avg_return","avg_opt_benchmark_return","avg_custom_benchmark_return","avg_opt_benchmark_excess","avg_custom_benchmark_excess"
"24",2020,2020-06-30,6,"Massachusetts SRS","Massachusetts State Retirement System","Massachusetts",44149760,0.0883160457498868,0.0903007948582391,0.0907268360027977,-0.00198474910835222,-0.00241079025291091
"25",2020,2020-12-31,12,"Michigan Municipal","Municipal Employees' Retirement System of Michigan","Michigan",16199000,0.0804011023538771,0.0780988474472866,0.0908939551627685,0.00230225490659053,-0.0104928528088915
"26",2020,2020-09-30,9,"Michigan Public Schools","Michigan Public School Employees' Retirement System","Michigan",86337688,0.0925642906446968,0.0796931710520212,0.0866159237039124,0.0128711195926756,0.00594836694078449
"27",2020,2020-09-30,9,"Michigan SERS","Michigan State Employees' Retirement System","Michigan",18742756,0.0925658629088446,0.0786636485978436,0.0866159237039124,0.013902214311001,0.00594993920493225
"28",2020,2020-06-30,6,"Minnesota GERF","Minnesota General Employees Retirement Plan","Minnesota",28626916,0.0973364593397228,0.0946399363531123,0.0907268360027977,0.00269652298661049,0.00660962333692505
"29",2020,2020-06-30,6,"Minnesota State Employees","Minnesota State Employees Retirement Fund","Minnesota",15183843,0.0973364593397228,0.0946399363531123,0.0907268360027977,0.00269652298661049,0.00660962333692505
"30",2020,2020-06-30,6,"Minnesota Teachers","Teachers Retirement Association of Minnesota","Minnesota",30129180,0.0973364593397228,0.0946399363531123,0.0907268360027977,0.00269652298661049,0.00660962333692505
"31",2020,2020-06-30,6,"Mississippi PERS","Public Employees' Retirement System of Mississippi","Mississippi",47354464,0.0945664888067819,0.0880103571064534,0.0907268360027977,0.00655613170032843,0.00383965280398413
"32",2020,2020-06-30,6,"Missouri DOT and Highway","Missouri Department of Transportation and Highway Patrol Employees' Retirement System","Missouri",4092098,0.0880859437594776,0.113577299490238,0.0907268360027977,-0.0254913557307599,-0.00264089224332009
"33",2020,2020-06-30,6,"Nevada Police Officer and Firefighter","Public Employees' Retirement System of Nevada - Police and Firefighters Plan","Nevada",13605745,0.095368942308002,0.0821014570477225,0.0907268360027977,0.0132674852602794,0.00464210630520423
"34",2020,2020-06-30,6,"New Hampshire RS","New Hampshire Retirement System","New Hampshire",15488015,0.088230797731367,0.103735225704337,0.0907268360027977,-0.0155044279729701,-0.00249603827143074
"35",2020,2020-06-30,6,"New Jersey PERS","Public Employees' Retirement System of New Jersey","New Jersey",62695236,0.0802289892358781,0.092870659225833,0.0907268360027977,-0.012641669989955,-0.0104978467669197
"36",2020,2020-06-30,6,"New Jersey Police & Fire","The Police and Firemen's Retirement System of New Jersey","New Jersey",44303184,0.0802289892358781,0.092870659225833,0.0907268360027977,-0.012641669989955,-0.0104978467669197
"37",2020,2020-06-30,6,"New Mexico PERA","Public Employees Retirement Association of New Mexico","New Mexico",22388870,0.0752682707159753,0.107005823005063,0.0907268360027977,-0.0317375522890879,-0.0154585652868224
"38",2020,2020-06-30,6,"North Carolina Local Government","North Carolina Local Governmental Employees' Retirement System","North Carolina",30700922,0.0767733899100485,0.0766932439603376,0.0907268360027977,8.01459497108414e-05,-0.0139534460927493
"39",2020,2020-06-30,6,"North Carolina Teachers and State Employees","Teachers' and State Employees' Retirement System of North Carolina","North Carolina",84873312,0.0767733899100485,0.0766932439603376,0.0907268360027977,8.01459497108414e-05,-0.0139534460927493
"40",2020,2020-06-30,6,"North Dakota PERS","North Dakota Public Employees Retirement System","North Dakota",4717407.5,0.0842816640697392,0.096350730371384,0.0907268360027977,-0.0120690663016447,-0.00644517193305849
"41",2020,2020-12-31,12,"Ohio PERS","Ohio Public Employees Retirement System","Ohio",112832000,0.0859046380742019,0.0650809596153092,0.0908939551627685,0.0208236784588927,-0.00498931708856665
"42",2020,2020-12-31,12,"Ohio Police & Fire","Ohio Police & Fire Pension Fund","Ohio",22628592,0.0909044285023277,0.075213740562919,0.0908939551627685,0.0156906879394088,1.04733395591694e-05
"43",2020,2020-06-30,6,"Ohio Teachers","School Employees' Retirement System of Ohio","Ohio",96672288,0.0938869564892739,0.0983836844940329,0.0907268360027977,-0.00449672800475898,0.00316012048647618
"44",2020,2020-06-30,6,"Oklahoma PERS","Oklahoma Public Employees Retirement System","Oklahoma",10943079,0.0870109574327287,0.090252880535167,0.0907268360027977,-0.00324192310243832,-0.00371587857006905
"45",2020,2020-06-30,6,"Oregon PERS","Oregon Public Employees Retirement System","Oregon",89445696,0.0849404530548425,0.108972092624112,0.0907268360027977,-0.0240316395692697,-0.00578638294795519
"46",2020,2020-06-30,6,"Pennsylvania School Employees","Public School Employees' Retirement System of Pennsylvania","Pennsylvania",107833400,0.0766340329148216,0.0925411963926224,0.0907268360027977,-0.0159071634778007,-0.0140928030879761
"47",2020,2020-12-31,12,"Pennsylvania State ERS","Pennsylvania State Employees' Retirement System","Pennsylvania",55098760,0.0797782977159198,0.0712613686232888,0.0908939551627685,0.00851692909263102,-0.0111156574468487
"48",2020,2020-06-30,6,"Rhode Island ERS","Employees' Retirement System of Rhode Island","Rhode Island",11751253,0.0783123278492541,0.0875847942358705,0.0907268360027977,-0.00927246638661638,-0.0124145081535436
"49",2020,2020-06-30,6,"South Carolina RS","South Carolina Retirement System","South Carolina",52061244,0.0676637962674789,0.0863198149952624,0.0907268360027977,-0.0186560187277836,-0.0230630397353189
"50",2020,2020-06-30,6,"South Dakota RS","South Dakota Retirement System","South Dakota",12336270,0.0951489103237977,0.127155876937952,0.0907268360027977,-0.0320069666141547,0.00442207432099995
"51",2020,2020-08-31,8,"Texas ERS","Employees Retirement System of Texas","Texas",43258312,0.0821677332986961,0.0804142077901369,0.0961317509923263,0.00175352550855923,-0.0139640176936302
"52",2020,2020-08-31,8,"Texas Teachers","Teacher Retirement System of Texas","Texas",218037584,0.0852970210075843,0.0509924727335749,0.0961317509923263,0.0343045482740094,-0.010834729984742
"53",2020,2020-06-30,6,"TN State and Teachers","Tennesee State and Teachers' Retirement Plan","Tennessee",42078288,0.0887295319250916,0.084012193485816,0.0907268360027977,0.00471733843927558,-0.00199730407770615
"54",2020,2020-06-30,6,"University of California","University of California Retirement Plan","California",93088224,0.0818798380248686,0.087657629442335,0.0907268360027977,-0.00577779141746637,-0.00884699797792909
"55",2020,2020-06-30,6,"Vermont State Employees","Vermont State Employees' Retirement System","Vermont",3095291,0.0756285158205916,0.0840386895482768,0.0907268360027977,-0.00841017372768516,-0.0150983201822061
"56",2020,2020-06-30,6,"Vermont Teachers","State Teachers' Retirement System of Vermont","Vermont",3969003,0.0746007807755114,0.0799351019450565,0.0907268360027977,-0.00533432116954513,-0.0161260552272864
"57",2020,2020-06-30,6,"Virginia RS","Virginia Retirement System","Virginia",101893256,0.0807026579313177,0.0895079816377127,0.0907268360027977,-0.00880532370639497,-0.01002417807148
"58",2020,2020-06-30,6,"Washington PERS 2/3","Washington Public Employees' Retirement System","Washington",45559000,0.093513589177026,0.0794055074206188,0.0907268360027977,0.0141080817564072,0.00278675317422827
"59",2020,2020-06-30,6,"Washington School Employees Plan 2/3","Washington School Employees Plan 2/3","Washington",6991000,0.093513589177026,0.0794055074206188,0.0907268360027977,0.0141080817564072,0.00278675317422827
"60",2020,2020-12-31,12,"Wisconsin RS","Wisconsin Retirement System","Wisconsin",114265000,0.0879984743975983,0.068056838731491,0.0908939551627685,0.0199416356661073,-0.00289548076517021
"61",2020,2020-06-30,6,"Connecticut Municipal","Connecticut Municipal Employees Retirement System","Connecticut",3861600.5,0.0711894987975048,0.0636035656730516,0.0907268360027977,0.00758593312445321,-0.0195373372052929
"62",2020,2020-06-30,6,"Louisiana Municipal Police","Louisiana Municipal Police Employees Retirement System","Louisiana",3135811.3,0.0709424846119249,0.0852325969102403,0.0907268360027977,-0.0142901122983154,-0.0197843513908729
"63",2020,2020-12-31,12,"Louisiana Parochial Employees","Louisiana State Parochial Employees Retirement System","Louisiana",4681468.5,0.083758900119951,0.0758594579713117,0.0908939551627685,0.00789944214863936,-0.00713505504281753
"64",2020,2020-06-30,6,"Minnesota Police and Fire","Minnesota Public Employees Police & Fire Plan","Minnesota",10291567,0.0973364593397228,0.0946399363531123,0.0907268360027977,0.00269652298661049,0.00660962333692505
"65",2020,2020-12-31,12,"Utah Public Safety","Utah Public Safety and Firefighter Retirement Plan","Utah",4893267,0.0885047423959631,0.0692315203531442,0.0908939551627685,0.0192732220428189,-0.00238921276680548
"66",2020,2020-06-30,6,"Delaware County and Municipal Employees","Delaware County and Municipal Other Employees","Delaware",56863.301,0.0864302165146813,0.11152207290366,0.0907268360027977,-0.0250918563889784,-0.00429661948811644
"67",2020,2020-06-30,6,"California Teachers","California State Teachers' Retirement System","California",322127008,0.094465593174202,0.0983602831760619,0.0907268360027977,-0.00389469000185994,0.00373875717140426
"68",2020,2020-06-30,6,"North Dakota Teachers","North Dakota Teachers' Fund for Retirement","North Dakota",4181035.8,0.085644331880778,0.100656758231782,0.0907268360027977,-0.0150124263510036,-0.00508250412201972
"69",2020,2020-06-30,6,"Massachusetts Teachers","Massachusetts Teachers' Retirement System","Massachusetts",56347072,0.0883160457498868,0.0903007948582391,0.0907268360027977,-0.00198474910835222,-0.00241079025291091
"70",2020,2020-06-30,6,"New York State Teachers","New York State Teachers' Retirement System","New York",123801696,0.0955146706758014,0.106150458063256,0.0907268360027977,-0.0106357873874541,0.0047878346730037
"71",2020,2020-03-31,3,"NY State & Local ERS","New York State and Local Retirement System - Employees' Retirement System","New York",195734000,0.0753118923924418,0.0573202812780906,0.0670224445519216,0.0179916111143512,0.00828944784052021
"72",2020,2020-12-31,12,"Colorado Municipal","Colorado Public Employee Retirement Association-Local Division","Colorado",5658903,0.094379034976757,0.0711036236446096,0.0908939551627685,0.0232754113321474,0.00348507981398849
"73",2020,2020-12-31,12,"Colorado School","Colorado Public Employee Retirement Association-School Division","Colorado",45532076,0.094379034976757,0.0711036236446096,0.0908939551627685,0.0232754113321474,0.00348507981398849
"74",2020,2020-06-30,6,"Arkansas Teachers","Arkansas Teacher Retirement System","Arkansas",22352000,0.0878609372017833,0.100148585466318,0.0907268360027977,-0.0122876482645349,-0.0028658988010144
"75",2020,2020-06-30,6,"Montana Teachers","Teachers' Retirement System of Montana","Montana",6310005,0.0884498858967768,0.108891630978543,0.0907268360027977,-0.020441745081766,-0.00227695010602091
"76",2020,2020-06-30,6,"New Mexico Educational","Educational Retirement Board of New Mexico","New Mexico",22711576,0.07884625886514,0.0918561709815797,0.0907268360027977,-0.0130099121164398,-0.0118805771376578
